ลำดับ,ประเภทชุดการแสดง,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,จำนวนผู้แสดง,ระยะเวลาการแสดง (นาที), ราคาต่อชุด ,ประเภทการแสดง,บริบทย่อย,บริบทหลัก
439,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนเทียน,"ฟ้อนเทียน เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย 
ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละ 1 เล่ม ร่ายรําไปตามทํานองเพลง 
นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชดเจน",8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,วันเข้าพรรษา,งานวันสำคัญทางศาสนา
440,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนเทียน,"ฟ้อนเทียน เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย 
ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละ 1 เล่ม ร่ายรําไปตามทํานองเพลง 
นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชดเจน",8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,วันออกพรรษา,งานวันสำคัญทางศาสนา
441,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนเทียน,"ฟ้อนเทียน เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย 
ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละ 1 เล่ม ร่ายรําไปตามทํานองเพลง 
นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชดเจน",8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานสวดมนต์ข้ามปี,งานวันสำคัญทางศาสนา
442,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนเทียน,"ฟ้อนเทียน เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย 
ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละ 1 เล่ม ร่ายรําไปตามทํานองเพลง 
นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชดเจน",8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานเทศมหาชาติ,งานวันสำคัญทางศาสนา
443,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนเทียน,"ฟ้อนเทียน เป็นการฟ้อนแบบหนึ่งทางภาคเหนือของประเทศไทย 
ผู้ฟ้อนเป็นหญิงสาวถือเทียนจุดไฟข้างละ 1 เล่ม ร่ายรําไปตามทํานองเพลง 
นิยมแสดงในเวลากลางคืน เพื่อให้เห็นการเคลื่อนไหวของเปลวเทียนได้ชดเจน",8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานประชุมสงฆ์,งานวันสำคัญทางศาสนา
444,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
445,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานทำบุญ,งานมงคล
446,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานวันเกิด,งานมงคล
447,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานแต่งงาน,งานมงคล
448,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานขึ้นบ้านใหม่,งานมงคล
449,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานเปิดบริษัท,งานมงคล
450,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานสวดอภิธรรม,งานอวมงคล
451,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานพระราชทานเพลิงศพ,งานอวมงคล
452,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานฌาปนกิจศพ,งานอวมงคล
453,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันสงกรานต์,งานเทศกาล
454,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันขึ้นปีใหม่,งานเทศกาล
455,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันตรุษจีน,งานเทศกาล
456,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันลอยกระทง,งานเทศกาล
457,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
458,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
459,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันวิสาขบูชา,งานวันสำคัญทางศาสนา
460,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันเข้าพรรษา,งานวันสำคัญทางศาสนา
461,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,วันออกพรรษา,งานวันสำคัญทางศาสนา
462,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานสวดมนต์ข้ามปี,งานวันสำคัญทางศาสนา
463,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานเทศมหาชาติ,งานวันสำคัญทางศาสนา
464,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนผาง,"ฟ้อนผาง เป็นการแสดงนาฏศิลป์พื้นบ้านของชาวล้านนาทางภาคเหนือของไทย 
ผู้แสดงออกมาร่ายรําพร้อมถือภาชนะดินเผาจุดไฟเรียกว่า ผางประทีป ทั้ง 2 มือ
นิยมจัดแสดงในงานประเพณีสําคัญของชาวล้านนามาแต่ครังโบราณ ",4,10," 8,000 ",การแสดง ระบำ รำ ฟ้อน,งานประชุมสงฆ์,งานวันสำคัญทางศาสนา
465,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
466,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานทำบุญ,งานมงคล
467,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานวันเกิด,งานมงคล
468,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานแต่งงาน,งานมงคล
469,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานขึ้นบ้านใหม่,งานมงคล
470,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานเปิดบริษัท,งานมงคล
471,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานบวงสรวง,งานมงคล
472,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานไหว้ครู,งานมงคล
473,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานสวดอภิธรรม,งานอวมงคล
474,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,งานฌาปนกิจศพ,งานอวมงคล
475,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,วันสงกรานต์,งานเทศกาล
476,นาฏศิลป์พื้นบ้านภาคเหนือ,ฟ้อนมาลัย,ฟ้อนมาลัย หรือ ฟ้อนดวงดอกไม้ เป็นเพลงเก่าของราชสำนักเชียงใหม่ เจ้าดารารัศมีพระชายาในพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ได้ทรงนำมาใช้ในละครเรื่อง “น้อยใจยา” เมื่อกรมศิลปากรแสดงละครพันทางเรื่อง “พญาผานอง” ณ โรงละครแห่งชาติ เมื่อ พ.ศ. 2501 อาจารย์มนตรี  ตราโมท ได้นำทำนองเพลงฟ้อนดวงดอกไม้มาใช้เป็นเพลงฟ้อนของนางข้าหลวงของนางพญาคำปิน โดยได้แต่งบทร้องขึ้นมาใหม่ และท่านผู้หญิงแผ้ว สนิทวงศ์เสนี ประดิษฐ์ท่ารำ ฟ้อนชุดนี้ออกเพลงซุ้ม ซึ่งเป็นเพลงสำเนียงลาวชั้นเดียว,8,10," 16,000 ",การแสดง ระบำ รำ ฟ้อน,วันขึ้นปีใหม่,งานเทศกาล
